GEOID,year,median_rent,population,poverty_total,poverty_below,race_total,race_white,race_black,race_native,race_asian,race_pi,race_other,race_mixed,education_no_diploma,education_high_school,education_associates,education_bachelors,education_masters,education_professional,education_doctorate
20000001000,2013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000001001,2013,,9191.0,0.0,0.0,9191.0,1361.0,5388.0,0.0,202.0,0.0,2080.0,160.0,3921.0,1782.0,106.0,87.0,35.0,0.0,8.0
20000002000,2013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000002001,2013,385400.0,1303.0,400.0,88.0,1303.0,141.0,642.0,0.0,60.0,0.0,438.0,22.0,208.0,519.0,37.0,88.0,51.0,0.0,0.0
20000002002,2013,418000.0,1770.0,486.0,138.0,1770.0,794.0,565.0,0.0,0.0,0.0,371.0,40.0,177.0,558.0,149.0,168.0,22.0,0.0,0.0
20000002003,2013,474600.0,1785.0,461.0,52.0,1785.0,417.0,297.0,35.0,199.0,0.0,829.0,8.0,294.0,515.0,103.0,149.0,38.0,0.0,0.0
20000004000,2013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000004001,2013,445900.0,820.0,275.0,68.0,820.0,144.0,234.0,0.0,0.0,0.0,433.0,9.0,151.0,185.0,36.0,39.0,30.0,0.0,0.0
20000004002,2013,354800.0,1344.0,454.0,71.0,1344.0,500.0,234.0,0.0,81.0,0.0,519.0,10.0,217.0,397.0,114.0,142.0,22.0,0.0,0.0
20000004003,2013,322700.0,2669.0,865.0,0.0,2669.0,695.0,959.0,0.0,14.0,0.0,936.0,65.0,185.0,906.0,277.0,357.0,169.0,0.0,0.0
20000004004,2013,450000.0,511.0,159.0,14.0,511.0,0.0,141.0,0.0,21.0,0.0,349.0,0.0,47.0,204.0,7.0,61.0,41.0,0.0,0.0
20000016001,2013,,2199.0,805.0,140.0,2199.0,559.0,959.0,0.0,0.0,0.0,596.0,85.0,578.0,735.0,85.0,81.0,31.0,0.0,0.0
20000016002,2013,463000.0,767.0,319.0,118.0,767.0,304.0,263.0,0.0,0.0,0.0,190.0,10.0,112.0,237.0,5.0,123.0,0.0,31.0,0.0
20000016003,2013,,805.0,404.0,94.0,805.0,160.0,351.0,0.0,0.0,0.0,285.0,9.0,143.0,348.0,11.0,11.0,30.0,0.0,0.0
20000016004,2013,393100.0,1444.0,417.0,63.0,1444.0,512.0,144.0,0.0,0.0,0.0,777.0,11.0,231.0,441.0,55.0,68.0,27.0,2.0,0.0
20000019000,2013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000019001,2013,343100.0,1446.0,509.0,124.0,1446.0,553.0,239.0,0.0,24.0,0.0,590.0,40.0,208.0,338.0,26.0,145.0,66.0,19.0,5.0
20000019002,2013,,112.0,21.0,14.0,112.0,86.0,26.0,0.0,0.0,0.0,0.0,0.0,14.0,29.0,0.0,0.0,0.0,0.0,0.0
20000019003,2013,368800.0,1004.0,301.0,151.0,1004.0,356.0,389.0,0.0,10.0,0.0,231.0,18.0,237.0,395.0,35.0,34.0,8.0,0.0,0.0
20000019004,2013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000019005,2013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000020001,2013,354300.0,906.0,267.0,79.0,906.0,110.0,276.0,89.0,0.0,0.0,223.0,208.0,76.0,446.0,83.0,36.0,55.0,0.0,0.0
20000020002,2013,383800.0,1718.0,632.0,210.0,1718.0,452.0,440.0,0.0,117.0,0.0,662.0,47.0,443.0,337.0,69.0,112.0,39.0,0.0,11.0
20000020003,2013,,2649.0,905.0,532.0,2649.0,654.0,1203.0,48.0,80.0,0.0,632.0,32.0,724.0,558.0,133.0,87.0,0.0,0.0,0.0
20000020004,2013,,1588.0,546.0,171.0,1588.0,134.0,532.0,0.0,0.0,0.0,922.0,0.0,198.0,508.0,34.0,82.0,0.0,0.0,0.0
20000020005,2013,,766.0,335.0,136.0,766.0,132.0,464.0,0.0,0.0,0.0,170.0,0.0,157.0,170.0,32.0,34.0,31.0,0.0,0.0
20000020006,2013,386000.0,829.0,295.0,148.0,829.0,128.0,416.0,0.0,0.0,0.0,285.0,0.0,141.0,227.0,77.0,107.0,63.0,0.0,0.0
20000023001,2013,,2274.0,1000.0,624.0,2274.0,630.0,1201.0,18.0,0.0,0.0,405.0,20.0,807.0,664.0,45.0,23.0,0.0,13.0,0.0
20000023002,2013,,733.0,263.0,80.0,733.0,213.0,382.0,14.0,0.0,0.0,118.0,6.0,147.0,153.0,22.0,12.0,1.0,0.0,0.0
20000023003,2013,,1665.0,572.0,295.0,1665.0,541.0,441.0,22.0,0.0,0.0,601.0,60.0,390.0,447.0,40.0,80.0,0.0,0.0,5.0
20000024000,2013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000024001,2013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000025001,2013,,886.0,267.0,176.0,886.0,565.0,66.0,0.0,0.0,0.0,255.0,0.0,302.0,143.0,0.0,24.0,0.0,0.0,0.0
20000025002,2013,,1589.0,564.0,310.0,1589.0,361.0,495.0,0.0,0.0,0.0,620.0,113.0,309.0,406.0,26.0,51.0,21.0,19.0,0.0
20000025003,2013,,1341.0,478.0,308.0,1341.0,310.0,267.0,0.0,195.0,0.0,569.0,0.0,450.0,312.0,21.0,0.0,0.0,0.0,0.0
20000025004,2013,,780.0,271.0,119.0,780.0,361.0,168.0,0.0,0.0,0.0,220.0,31.0,244.0,136.0,16.0,19.0,0.0,0.0,0.0
20000025005,2013,,512.0,234.0,144.0,512.0,224.0,108.0,0.0,91.0,0.0,76.0,13.0,101.0,185.0,28.0,0.0,7.0,0.0,0.0
20000027011,2013,,1665.0,565.0,240.0,1665.0,571.0,799.0,0.0,0.0,0.0,233.0,62.0,346.0,464.0,13.0,126.0,29.0,0.0,0.0
20000027012,2013,,1507.0,494.0,251.0,1507.0,356.0,683.0,0.0,0.0,0.0,458.0,10.0,455.0,300.0,13.0,27.0,5.0,0.0,23.0
20000027021,2013,,1551.0,511.0,187.0,1551.0,295.0,929.0,0.0,0.0,0.0,291.0,36.0,379.0,384.0,89.0,110.0,0.0,0.0,0.0
20000027022,2013,,926.0,130.0,44.0,926.0,221.0,149.0,0.0,0.0,0.0,517.0,39.0,279.0,103.0,36.0,0.0,0.0,0.0,0.0
20000027023,2013,,1484.0,441.0,270.0,1484.0,599.0,314.0,0.0,0.0,0.0,494.0,77.0,377.0,266.0,53.0,0.0,0.0,0.0,0.0
20000027024,2013,,762.0,298.0,164.0,762.0,163.0,385.0,19.0,0.0,0.0,195.0,0.0,155.0,140.0,21.0,39.0,0.0,0.0,0.0
20000028000,2013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000028001,2013,406800.0,1504.0,621.0,43.0,1504.0,186.0,800.0,0.0,0.0,0.0,405.0,113.0,292.0,386.0,186.0,154.0,108.0,0.0,0.0
20000028002,2013,208300.0,1623.0,626.0,45.0,1623.0,42.0,1164.0,0.0,27.0,0.0,288.0,102.0,77.0,749.0,109.0,221.0,73.0,0.0,0.0
20000028003,2013,,1345.0,597.0,64.0,1345.0,0.0,1110.0,0.0,0.0,0.0,208.0,27.0,97.0,452.0,212.0,53.0,84.0,0.0,0.0
20000028004,2013,,1332.0,496.0,27.0,1332.0,48.0,976.0,0.0,0.0,0.0,292.0,16.0,91.0,568.0,134.0,90.0,0.0,0.0,0.0
20000031001,2013,52900.0,1272.0,478.0,113.0,1272.0,287.0,588.0,0.0,21.0,0.0,374.0,2.0,284.0,270.0,64.0,122.0,0.0,0.0,0.0
20000033001,2013,290000.0,559.0,140.0,17.0,559.0,132.0,139.0,0.0,0.0,0.0,288.0,0.0,134.0,169.0,22.0,54.0,0.0,10.0,0.0
20000033002,2013,429200.0,1848.0,476.0,253.0,1848.0,371.0,995.0,0.0,0.0,0.0,460.0,22.0,401.0,300.0,46.0,73.0,56.0,0.0,0.0
20000033003,2013,,1578.0,540.0,302.0,1578.0,722.0,495.0,0.0,0.0,0.0,347.0,14.0,435.0,396.0,9.0,39.0,0.0,0.0,0.0
20000035001,2013,,765.0,296.0,102.0,765.0,129.0,177.0,0.0,0.0,0.0,375.0,84.0,93.0,236.0,31.0,49.0,22.0,0.0,0.0
20000035002,2013,,1621.0,579.0,273.0,1621.0,146.0,886.0,0.0,0.0,0.0,499.0,90.0,545.0,369.0,19.0,0.0,0.0,0.0,0.0
20000035003,2013,405600.0,1390.0,414.0,103.0,1390.0,239.0,158.0,0.0,0.0,0.0,936.0,57.0,306.0,360.0,26.0,71.0,16.0,0.0,0.0
20000037001,2013,,242.0,100.0,36.0,242.0,68.0,54.0,0.0,0.0,0.0,120.0,0.0,26.0,135.0,11.0,0.0,0.0,0.0,0.0
20000038001,2013,445500.0,1291.0,397.0,148.0,1291.0,191.0,518.0,0.0,9.0,0.0,524.0,49.0,209.0,362.0,66.0,47.0,57.0,12.0,0.0
20000039001,2013,,1433.0,411.0,220.0,1433.0,568.0,202.0,0.0,0.0,0.0,663.0,0.0,486.0,321.0,21.0,20.0,0.0,0.0,0.0
20000039002,2013,,1561.0,425.0,198.0,1561.0,382.0,462.0,0.0,24.0,0.0,693.0,0.0,385.0,357.0,48.0,66.0,0.0,32.0,0.0
20000039003,2013,,600.0,260.0,78.0,600.0,323.0,75.0,0.0,0.0,0.0,202.0,0.0,227.0,117.0,0.0,0.0,0.0,0.0,10.0
20000039004,2013,,1042.0,344.0,79.0,1042.0,659.0,259.0,0.0,0.0,0.0,124.0,0.0,205.0,255.0,92.0,97.0,12.0,0.0,0.0
20000039005,2013,530300.0,1413.0,454.0,124.0,1413.0,399.0,449.0,33.0,62.0,0.0,470.0,0.0,289.0,377.0,77.0,150.0,33.0,0.0,0.0
20000040011,2013,372000.0,1470.0,490.0,77.0,1470.0,298.0,290.0,0.0,357.0,0.0,300.0,225.0,266.0,555.0,36.0,150.0,29.0,9.0,0.0
20000041001,2013,,1873.0,702.0,316.0,1873.0,571.0,305.0,10.0,83.0,0.0,738.0,166.0,566.0,371.0,20.0,48.0,0.0,0.0,0.0
20000041002,2013,318300.0,2027.0,552.0,155.0,2027.0,793.0,548.0,31.0,0.0,0.0,643.0,12.0,504.0,460.0,73.0,48.0,43.0,0.0,1.0
20000041003,2013,,18.0,4.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
20000041004,2013,,2300.0,767.0,440.0,2300.0,532.0,1356.0,0.0,0.0,0.0,402.0,10.0,471.0,337.0,146.0,86.0,15.0,0.0,0.0
20000042001,2013,,577.0,212.0,61.0,577.0,144.0,338.0,0.0,0.0,0.0,95.0,0.0,223.0,128.0,0.0,59.0,0.0,0.0,0.0
20000042002,2013,,3647.0,1044.0,600.0,3647.0,909.0,1585.0,39.0,78.0,0.0,1018.0,18.0,744.0,846.0,178.0,111.0,0.0,0.0,0.0
20000042003,2013,,1021.0,477.0,61.0,1021.0,186.0,500.0,0.0,0.0,0.0,284.0,51.0,155.0,397.0,20.0,168.0,15.0,13.0,0.0
20000042004,2013,,673.0,275.0,18.0,673.0,0.0,493.0,0.0,0.0,0.0,103.0,77.0,93.0,185.0,109.0,116.0,28.0,0.0,0.0
20000042005,2013,202900.0,646.0,347.0,6.0,646.0,68.0,507.0,0.0,0.0,0.0,71.0,0.0,43.0,336.0,9.0,0.0,68.0,0.0,0.0
20000042006,2013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000042007,2013,139400.0,865.0,347.0,38.0,865.0,307.0,216.0,0.0,0.0,0.0,342.0,0.0,270.0,60.0,65.0,121.0,34.0,0.0,0.0
20000043001,2013,,1305.0,457.0,279.0,1305.0,208.0,509.0,0.0,0.0,0.0,536.0,52.0,290.0,264.0,16.0,100.0,0.0,0.0,0.0
20000043002,2013,,1571.0,548.0,199.0,1571.0,229.0,487.0,66.0,0.0,10.0,773.0,6.0,414.0,410.0,72.0,97.0,0.0,0.0,0.0
20000043003,2013,463200.0,1475.0,435.0,129.0,1475.0,534.0,509.0,0.0,0.0,0.0,244.0,188.0,214.0,425.0,23.0,85.0,55.0,0.0,0.0
20000043004,2013,434400.0,983.0,369.0,179.0,983.0,189.0,463.0,0.0,0.0,0.0,315.0,16.0,202.0,298.0,53.0,22.0,44.0,0.0,0.0
20000044001,2013,,1233.0,459.0,219.0,1233.0,180.0,488.0,6.0,17.0,0.0,500.0,42.0,314.0,332.0,25.0,86.0,0.0,0.0,0.0
20000044002,2013,,587.0,247.0,125.0,587.0,72.0,97.0,0.0,0.0,0.0,335.0,83.0,160.0,236.0,13.0,45.0,0.0,0.0,0.0
20000044003,2013,413900.0,1909.0,553.0,184.0,1909.0,174.0,938.0,0.0,259.0,0.0,320.0,218.0,566.0,458.0,107.0,71.0,28.0,0.0,0.0
20000044004,2013,,1051.0,409.0,224.0,1051.0,259.0,522.0,0.0,0.0,0.0,216.0,54.0,172.0,302.0,7.0,11.0,0.0,0.0,0.0
20000046001,2013,110200.0,1605.0,657.0,171.0,1605.0,364.0,592.0,13.0,0.0,0.0,629.0,7.0,319.0,565.0,63.0,120.0,44.0,0.0,0.0
20000048001,2013,,1648.0,581.0,204.0,1648.0,231.0,414.0,0.0,47.0,0.0,747.0,209.0,457.0,402.0,30.0,54.0,0.0,0.0,0.0
20000048002,2013,338000.0,2234.0,653.0,269.0,2234.0,382.0,498.0,10.0,163.0,0.0,1100.0,81.0,709.0,614.0,57.0,61.0,41.0,0.0,0.0
20000050011,2013,402400.0,1790.0,561.0,105.0,1790.0,287.0,584.0,0.0,0.0,0.0,805.0,114.0,417.0,499.0,96.0,92.0,32.0,0.0,0.0
20000050012,2013,461500.0,1166.0,421.0,211.0,1166.0,122.0,768.0,0.0,0.0,0.0,145.0,131.0,265.0,287.0,51.0,43.0,7.0,0.0,0.0
20000050013,2013,,1135.0,248.0,127.0,1135.0,0.0,324.0,0.0,18.0,0.0,749.0,44.0,245.0,154.0,61.0,15.0,0.0,0.0,0.0
20000050014,2013,580900.0,691.0,202.0,26.0,691.0,24.0,422.0,0.0,0.0,0.0,187.0,58.0,143.0,189.0,10.0,35.0,12.0,0.0,0.0
20000050021,2013,,1888.0,526.0,157.0,1888.0,518.0,622.0,73.0,8.0,0.0,659.0,8.0,498.0,347.0,66.0,39.0,33.0,0.0,0.0
20000050022,2013,,932.0,394.0,118.0,932.0,148.0,136.0,0.0,0.0,0.0,598.0,50.0,255.0,312.0,66.0,34.0,0.0,0.0,0.0
20000050023,2013,,1301.0,407.0,147.0,1301.0,123.0,253.0,43.0,127.0,0.0,659.0,96.0,304.0,326.0,62.0,59.0,0.0,0.0,0.0
20000050024,2013,,1523.0,329.0,138.0,1523.0,196.0,158.0,0.0,17.0,0.0,987.0,165.0,486.0,267.0,10.0,14.0,13.0,9.0,0.0
20000051001,2013,,461.0,167.0,28.0,461.0,12.0,140.0,0.0,0.0,0.0,284.0,25.0,236.0,79.0,0.0,32.0,32.0,0.0,0.0
20000051002,2013,,2670.0,879.0,343.0,2670.0,475.0,1111.0,105.0,0.0,0.0,925.0,54.0,635.0,784.0,78.0,76.0,0.0,0.0,0.0
20000051003,2013,,2727.0,911.0,417.0,2727.0,375.0,1149.0,0.0,10.0,0.0,1162.0,31.0,667.0,614.0,61.0,107.0,54.0,2.0,2.0
20000052001,2013,343800.0,565.0,198.0,83.0,565.0,155.0,190.0,0.0,60.0,0.0,97.0,63.0,135.0,176.0,9.0,10.0,40.0,0.0,0.0
20000052002,2013,,1420.0,547.0,275.0,1420.0,158.0,575.0,0.0,0.0,0.0,504.0,183.0,474.0,453.0,26.0,26.0,0.0,0.0,6.0
20000053001,2013,,1356.0,673.0,377.0,1356.0,51.0,850.0,0.0,0.0,0.0,353.0,102.0,214.0,313.0,87.0,112.0,15.0,0.0,0.0
