MangAgen,the_geom,ProjName,ORRID,OneNYC,ProjVal,Schedule,CompDate,FndSourc,Borough,CounDist,CommBord,MoreInfo,Link
Department of Parks and Recreation,POINT (-73.88967473151949 40.763668157484),"Reconstruction of Play Equipment, Safety Surfaces, and General Site Work at Various Parks in Queens [Multisite]",DPR278,Infrastructure,5000000,Completed,Q1 2015,"FEMA, City Funds",Queens,"19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34","QN-1, QN-2, QN-3, QN-5, QN-6, QN-7, QN-8, QN-9, QN-11, QN-12, QN-13, QN-14","Work includes reconstruction of play equipment, safety surfacing, handball and basketball courts, and general site work.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Department of Parks and Recreation,POINT (-73.88838443151405 40.75140895747986),"Reconstruction of Play Equipment, Safety Surfaces, and General Site Work at Various Parks in Queens [Multisite]",DPR278,Infrastructure,5000000,Completed,Q1 2015,"FEMA, City Funds",Queens,"19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34","QN-1, QN-2, QN-3, QN-5, QN-6, QN-7, QN-8, QN-9, QN-11, QN-12, QN-13, QN-14","Work includes reconstruction of play equipment, safety surfacing, handball and basketball courts, and general site work.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Department of Parks and Recreation,POINT (-73.88375023152297 40.76754645748706),"Reconstruction of Play Equipment, Safety Surfaces, and General Site Work at Various Parks in Queens [Multisite]",DPR278,Infrastructure,5000000,Completed,Q1 2015,"FEMA, City Funds",Queens,"19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34","QN-1, QN-2, QN-3, QN-5, QN-6, QN-7, QN-8, QN-9, QN-11, QN-12, QN-13, QN-14","Work includes reconstruction of play equipment, safety surfacing, handball and basketball courts, and general site work.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Department of Parks and Recreation,POINT (-73.85793739828091 40.7626647608514),World's Fair Marina Reconstruction,DPR317,Coastal Defense,0,Planning,,"FEMA-428, City Funds",Queens,21,QN-3,"Work includes reconstruction of docks, gangways, pilings, and electircal components.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Department of Environmental Protection,POINT (-73.8541326191971 40.755238467424796),Resiliency Work at 37th Avenue Pumping Station,DEP006,Infrastructure,700000,Planning,Q3 2021,City Funds,Queens,21,QN-3,Work includes floodproofing and elevating equipment.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Parks and Recreation,POINT (-73.86966903152509 40.76386115748955),"Reconstruction of Play Equipment, Safety Surfaces, and General Site Work at Various Parks in Queens [Multisite]",DPR278,Infrastructure,5000000,Completed,Q1 2015,"FEMA, City Funds",Queens,"19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34","QN-1, QN-2, QN-3, QN-5, QN-6, QN-7, QN-8, QN-9, QN-11, QN-12, QN-13, QN-14","Work includes reconstruction of play equipment, safety surfacing, handball and basketball courts, and general site work.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Department of Parks and Recreation,POINT (-73.84778743152486 40.75063425749068),"Reconstruction of Play Equipment, Safety Surfaces, and General Site Work at Various Parks in Queens [Multisite]",DPR278,Infrastructure,5000000,Completed,Q1 2015,"FEMA, City Funds",Queens,"19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34","QN-1, QN-2, QN-3, QN-5, QN-6, QN-7, QN-8, QN-9, QN-11, QN-12, QN-13, QN-14","Work includes reconstruction of play equipment, safety surfacing, handball and basketball courts, and general site work.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Department of Environmental Protection,POINT (-73.89433187533669 40.77977328152303),Resiliency Work at Bowery Bay WWTP,DEP041,Infrastructure,50000000,Planning,Q3 2021,"FEMA, City Funds",Queens,22,QN-1,Work includes floodproofing and elevating equipment.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Department of Transportation,POINT (-73.83838869496661 40.76334236896235),NYCDOT Facilities Damage Repairs and Contents Replacement [Multisite],NYCDOT001,Buildings,3000000,Construction,Q1 2017,"FEMA, City Funds",Citywide,"10, 20, 21, 26, 33, 49","MN-12, BK-1, QN-2, QN-7, SI-1","Work includes repairing facility structures, replacing industrial printers and copiers, and IT equipment and switches at City-owned and leased facilities.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Department of Transportation,POINT (-73.83838869496661 40.76334236896235),NYCDOT Facilities Damage Repairs and Contents Replacement [Multisite],NYCDOT001,Buildings,3000000,Construction,Q1 2017,"FEMA, City Funds",Citywide,"10, 20, 21, 26, 33, 49","MN-12, BK-1, QN-2, QN-7, SI-1","Work includes repairing facility structures, replacing industrial printers and copiers, and IT equipment and switches at City-owned and leased facilities.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Department of Transportation,POINT (-73.83838869496661 40.76334236896235),NYCDOT Facilities Damage Repairs and Contents Replacement [Multisite],NYCDOT001,Buildings,3000000,Construction,Q1 2017,"FEMA, City Funds",Citywide,"10, 20, 21, 26, 33, 49","MN-12, BK-1, QN-2, QN-7, SI-1","Work includes repairing facility structures, replacing industrial printers and copiers, and IT equipment and switches at City-owned and leased facilities.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Department of Transportation,POINT (-73.84194616241908 40.76373815896693),NYCDOT Facilities Damage Repairs and Contents Replacement [Multisite],NYCDOT001,Buildings,3000000,Construction,Q1 2017,"FEMA, City Funds",Citywide,"10, 20, 21, 26, 33, 49","MN-12, BK-1, QN-2, QN-7, SI-1","Work includes repairing facility structures, replacing industrial printers and copiers, and IT equipment and switches at City-owned and leased facilities.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Parks and Recreation,POINT (-73.83996906305593 40.75271091498731),"Tide Gate Repair Study and Construction at Flushing Meadows Corona Park, Queens",DPR002,Coastal Defense,5000000,Design,Q1 2023,"FEMA-HMGP, City Funds",Queens,21,"QN-3, QN-4, QN-6, QN-7, QN-8",Work includes installation of improved tide gates to reduce the risk of flooding and increase the holding capacity of the drainage lakes.,http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Department of Parks and Recreation,POINT (-73.84333958234794 40.74629754531122),"Reconstruction of Play Equipment, Safety Surfaces, and General Site Work at Various Parks in Queens [Multisite]",DPR278,Infrastructure,5000000,Completed,Q1 2015,"FEMA, City Funds",Queens,"19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34","QN-1, QN-2, QN-3, QN-5, QN-6, QN-7, QN-8, QN-9, QN-11, QN-12, QN-13, QN-14","Work includes reconstruction of play equipment, safety surfacing, handball and basketball courts, and general site work.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Fire Department of the City of New York,POINT (-73.99019906290295 40.67833291485078),EMS 32 - Repairs,FDNY002,Buildings,5000,Completed,Q2 2014,"FEMA, City Funds",Brooklyn,39,BK-6,"Work includes replacement of drywall, floor tiles, and minor electrical repair.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Education,POINT (-73.9117440629633 40.69643261490683),Emergency Power for 51 Critical Schools [Multisite],DOE005,Infrastructure,14000000,Design,Q1 2020,"FEMA-HMGP, City Funds",Citywide,"1, 3, 5, 6, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 24, 25, 26, 29, 30, 32, 33, 35, 36, 37, 38, 39","MN-3, MN-4, MN-7, MN-8, MN-10, MN-12, BX-1, BX-2, BX-3, BX-4, BX-5, BX-6, BX-8, BX-9, BX-12, BK-2, BK-3, BK-4, BK-5, BK-6, BK-7, BK-9, BK-10, BK-12, BK-14, BK-16, BK-17, QN-1, QN-4, QN-5, QN-6, QN-7, QN-8, QN-10, QN-11, SI-1, SI-2, SI-3",Work includes installing quick-connections at 51 schools to prevent service disruption.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Education,POINT (-73.86930506298337 40.69299971492757),Emergency Power for 51 Critical Schools [Multisite],DOE005,Infrastructure,14000000,Design,Q1 2020,"FEMA-HMGP, City Funds",Citywide,"1, 3, 5, 6, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 24, 25, 26, 29, 30, 32, 33, 35, 36, 37, 38, 39","MN-3, MN-4, MN-7, MN-8, MN-10, MN-12, BX-1, BX-2, BX-3, BX-4, BX-5, BX-6, BX-8, BX-9, BX-12, BK-2, BK-3, BK-4, BK-5, BK-6, BK-7, BK-9, BK-10, BK-12, BK-14, BK-16, BK-17, QN-1, QN-4, QN-5, QN-6, QN-7, QN-8, QN-10, QN-11, SI-1, SI-2, SI-3",Work includes installing quick-connections at 51 schools to prevent service disruption.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Environmental Protection,POINT (-73.94649951706633 40.73265776565212),Resiliency Work at Newtown Creek WWTP,DEP045,Infrastructure,16000000,Planning,Q3 2021,"FEMA, City Funds",Brooklyn,33,BK-1,Work includes floodproofing and elevating equipment.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Sanitation,POINT (-73.94615006298055 40.73480991491609),Greenpoint Warehouse - Repair and Mitigation,DSNY008,Infrastructure,1000000,Planning,,"FEMA-428, FEMA, City Funds",Brooklyn,33,BK-1,Work includes elevation and replacement of critical electrical and mechanical systems.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Fire Department of the City of New York,POINT (-73.94961306298087 40.73715691491596),Fleet Reserve Facility - Paidge Ave. - Repairs,FDNY034,Buildings,370000,Completed,Q4 2014,"FEMA, City Funds",Brooklyn,33,BK-1,Work includes gutting and complete reconstruction of first floor.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Mayor's Office of Recovery and Resiliency,POINT (-73.96099173547908 40.737180706044334),Gowanus Canal and Newtown Creek Surge Barriers - Study [Multisite],NYCEDC048,Coastal Defense,1000000,Completed,Q1 2016,HUD CDBG-DR,Brooklyn,"33, 38","BK-1, BK-6, BK-7, QN-1",Work includes evaluation of storm surge barriers and flooding prevention to nearby properties and infrastructure from future coastal storms at both the Gowanus Canal and Newtown Creek.,http://www.nycedc.com/project/gowanus-canal-newtown-creek-study
Fire Department of the City of New York,POINT (-73.92819716297208 40.71532261491164),Engine 206 - Repairs,FDNY008,Buildings,130000,Completed,Q1 2013,"FEMA, City Funds, Insurance Proceeds",Brooklyn,34,BK-1,"Work includes replacement of drywall, floor tiles, and minor electrical repair.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Fire Department of the City of New York,POINT (-73.92824606297191 40.715186914911556),Engine 206 - Mitigation,FDNY037,Buildings,710000,Planning,,"FEMA, City Funds",Brooklyn,34,BK-1,Work includes raising all mechanical equipment.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Department of Transportation,POINT (-73.93120664287096 40.71429163231378),Electrical Flood-Proofing of 12 Movable Bridges [Multisite],NYCDOT061,Infrastructure,106000000,Construction,Q4 2017,FHWA,Citywide,"8, 9, 10, 14, 26, 30, 34, 39","MN-10, MN-11, MN-12, BX-1, BX-4, BX-7, BK-1, BK-6, QN-2, QN-5",Work includes repairing the electrical and mechanical systems on 12 moveable bridges.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Sanitation,POINT (-73.92966986296713 40.710956514907686),Brooklyn Sanitation Districts 1/4 Facility - Repair,DSNY005,Infrastructure,1000000,Planning,,"FEMA, City Funds",Brooklyn,34,BK-1,Work includes replacement of damaged fire alarm system.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Education,POINT (-73.91909546296061 40.69788451490394),Emergency Power for 51 Critical Schools [Multisite],DOE005,Infrastructure,14000000,Design,Q1 2020,"FEMA-HMGP, City Funds",Citywide,"1, 3, 5, 6, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 24, 25, 26, 29, 30, 32, 33, 35, 36, 37, 38, 39","MN-3, MN-4, MN-7, MN-8, MN-10, MN-12, BX-1, BX-2, BX-3, BX-4, BX-5, BX-6, BX-8, BX-9, BX-12, BK-2, BK-3, BK-4, BK-5, BK-6, BK-7, BK-9, BK-10, BK-12, BK-14, BK-16, BK-17, QN-1, QN-4, QN-5, QN-6, QN-7, QN-8, QN-10, QN-11, SI-1, SI-2, SI-3",Work includes installing quick-connections at 51 schools to prevent service disruption.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Economic Development Corporation,POINT (-74.01386006289383 40.682499914840896),Brooklyn Cruise Terminal - Recovery,NYCEDC014,Infrastructure,3000000,Completed,Q4 2012,"FEMA, City Funds, Insurance Proceeds",Brooklyn,38,BK-6,"Work includes restoration of Brooklyn Cruise Terminal to pre-disaster design, function, and capacity.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Environmental Protection,POINT (-73.98639744033102 40.680478779283035),Resiliency Work at Nevins Street Pumping Station,DEP069,Infrastructure,1000000,Design,Q3 2021,"FEMA, City Funds",Brooklyn,33,BK-6,Work includes floodproofing and elevating equipment.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Department of Transportation,POINT (-73.99646497261449 40.674091326390716),Electrical Flood-Proofing of 12 Movable Bridges [Multisite],NYCDOT061,Infrastructure,106000000,Construction,Q4 2017,FHWA,Citywide,"8, 9, 10, 14, 26, 30, 34, 39","MN-10, MN-11, MN-12, BX-1, BX-4, BX-7, BK-1, BK-6, QN-2, QN-5",Work includes repairing the electrical and mechanical systems on 12 moveable bridges.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Department of Transportation,POINT (-73.99014848297708 40.67610036243205),Electrical Flood-Proofing of 12 Movable Bridges [Multisite],NYCDOT061,Infrastructure,106000000,Construction,Q4 2017,FHWA,Citywide,"8, 9, 10, 14, 26, 30, 34, 39","MN-10, MN-11, MN-12, BX-1, BX-4, BX-7, BK-1, BK-6, QN-2, QN-5",Work includes repairing the electrical and mechanical systems on 12 moveable bridges.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Department of Transportation,POINT (-73.9891975647434 40.67817509618279),Electrical Flood-Proofing of Carroll Street Bridge,NYCDOT213,Infrastructure,9000000,Completed,Q2 2016,"FEMA, City Funds",Brooklyn,39,BK-6,"Work includes repairing the bridge's drive machinery, navigation lights, electrical controls console, and operating motor.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Department of Transportation,POINT (-73.98834381807278 40.67947663269774),Electrical Flood-Proofing of 12 Movable Bridges [Multisite],NYCDOT061,Infrastructure,106000000,Construction,Q4 2017,FHWA,Citywide,"8, 9, 10, 14, 26, 30, 34, 39","MN-10, MN-11, MN-12, BX-1, BX-4, BX-7, BK-1, BK-6, QN-2, QN-5",Work includes repairing the electrical and mechanical systems on 12 moveable bridges.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Education,POINT (-73.91511036294415 40.678124814891675),Emergency Power for 51 Critical Schools [Multisite],DOE005,Infrastructure,14000000,Design,Q1 2020,"FEMA-HMGP, City Funds",Citywide,"1, 3, 5, 6, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 24, 25, 26, 29, 30, 32, 33, 35, 36, 37, 38, 39","MN-3, MN-4, MN-7, MN-8, MN-10, MN-12, BX-1, BX-2, BX-3, BX-4, BX-5, BX-6, BX-8, BX-9, BX-12, BK-2, BK-3, BK-4, BK-5, BK-6, BK-7, BK-9, BK-10, BK-12, BK-14, BK-16, BK-17, QN-1, QN-4, QN-5, QN-6, QN-7, QN-8, QN-10, QN-11, SI-1, SI-2, SI-3",Work includes installing quick-connections at 51 schools to prevent service disruption.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Education,POINT (-73.93225796294728 40.69146751489204),Emergency Power for 51 Critical Schools [Multisite],DOE005,Infrastructure,14000000,Design,Q1 2020,"FEMA-HMGP, City Funds",Citywide,"1, 3, 5, 6, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 24, 25, 26, 29, 30, 32, 33, 35, 36, 37, 38, 39","MN-3, MN-4, MN-7, MN-8, MN-10, MN-12, BX-1, BX-2, BX-3, BX-4, BX-5, BX-6, BX-8, BX-9, BX-12, BK-2, BK-3, BK-4, BK-5, BK-6, BK-7, BK-9, BK-10, BK-12, BK-14, BK-16, BK-17, QN-1, QN-4, QN-5, QN-6, QN-7, QN-8, QN-10, QN-11, SI-1, SI-2, SI-3",Work includes installing quick-connections at 51 schools to prevent service disruption.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Education,POINT (-73.9316041629354 40.6784789148829),Emergency Power for 51 Critical Schools [Multisite],DOE005,Infrastructure,14000000,Design,Q1 2020,"FEMA-HMGP, City Funds",Citywide,"1, 3, 5, 6, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 24, 25, 26, 29, 30, 32, 33, 35, 36, 37, 38, 39","MN-3, MN-4, MN-7, MN-8, MN-10, MN-12, BX-1, BX-2, BX-3, BX-4, BX-5, BX-6, BX-8, BX-9, BX-12, BK-2, BK-3, BK-4, BK-5, BK-6, BK-7, BK-9, BK-10, BK-12, BK-14, BK-16, BK-17, QN-1, QN-4, QN-5, QN-6, QN-7, QN-8, QN-10, QN-11, SI-1, SI-2, SI-3",Work includes installing quick-connections at 51 schools to prevent service disruption.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Education,POINT (-73.97643586292051 40.688907714866026),Emergency Power for 51 Critical Schools [Multisite],DOE005,Infrastructure,14000000,Design,Q1 2020,"FEMA-HMGP, City Funds",Citywide,"1, 3, 5, 6, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 24, 25, 26, 29, 30, 32, 33, 35, 36, 37, 38, 39","MN-3, MN-4, MN-7, MN-8, MN-10, MN-12, BX-1, BX-2, BX-3, BX-4, BX-5, BX-6, BX-8, BX-9, BX-12, BK-2, BK-3, BK-4, BK-5, BK-6, BK-7, BK-9, BK-10, BK-12, BK-14, BK-16, BK-17, QN-1, QN-4, QN-5, QN-6, QN-7, QN-8, QN-10, QN-11, SI-1, SI-2, SI-3",Work includes installing quick-connections at 51 schools to prevent service disruption.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Education,POINT (-73.9581810629335 40.691993114878244),Emergency Power for 51 Critical Schools [Multisite],DOE005,Infrastructure,14000000,Design,Q1 2020,"FEMA-HMGP, City Funds",Citywide,"1, 3, 5, 6, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 24, 25, 26, 29, 30, 32, 33, 35, 36, 37, 38, 39","MN-3, MN-4, MN-7, MN-8, MN-10, MN-12, BX-1, BX-2, BX-3, BX-4, BX-5, BX-6, BX-8, BX-9, BX-12, BK-2, BK-3, BK-4, BK-5, BK-6, BK-7, BK-9, BK-10, BK-12, BK-14, BK-16, BK-17, QN-1, QN-4, QN-5, QN-6, QN-7, QN-8, QN-10, QN-11, SI-1, SI-2, SI-3",Work includes installing quick-connections at 51 schools to prevent service disruption.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Environmental Protection,POINT (-73.99681709813675 40.66545058510834),Resiliency Work at 19th Street Pumping Station,DEP003,Infrastructure,360000,Planning,Q3 2021,City Funds,Brooklyn,38,BK-7,Work includes floodproofing and elevating equipment.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Police Department,POINT (-73.99953506288382 40.66349091483486),23rd Street Warehouse Buildings,NYPD022,Infrastructure,9000000,Planning,Q4 2022,"FEMA-428, FEMA, City Funds",Brooklyn,38,BK-7,"Work is planned to address structural, boiler, and electrical damage rendering the site unusable for NYPD.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Mayor's Office of Recovery and Resiliency,POINT (-74.00071568813935 40.66807403639449),Gowanus Canal and Newtown Creek Surge Barriers - Study [Multisite],NYCEDC048,Coastal Defense,1000000,Completed,Q1 2016,HUD CDBG-DR,Brooklyn,"33, 38","BK-1, BK-6, BK-7, QN-1",Work includes evaluation of storm surge barriers and flooding prevention to nearby properties and infrastructure from future coastal storms at both the Gowanus Canal and Newtown Creek.,http://www.nycedc.com/project/gowanus-canal-newtown-creek-study
New York City Police Department,POINT (-74.01518606287651 40.664916914827415),Erie Basin Electrical Work,NYPD023,Infrastructure,3000000,Design,Q2 2019,"FEMA, City Funds",Brooklyn,38,BK-6,Work includes restoration and installation of new electical power equipment.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Economic Development Corporation,POINT (-74.01450395419259 40.66824901191496),Red Hook Integrated Flood Protection System - Construction,NYCEDC118,Coastal Defense,100000000,Planning,Q4 2022,"FEMA-HMGP, City Funds",Brooklyn,"38, 39",BK-6,Work includes implementation of coastal flood risk reduction system,http://www.nycedc.com/project/red-hook-integrated-flood-protection-system
Department of Education,POINT (-74.0076222628687 40.65217381482225),Emergency Power for 51 Critical Schools [Multisite],DOE005,Infrastructure,14000000,Design,Q1 2020,"FEMA-HMGP, City Funds",Citywide,"1, 3, 5, 6, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 24, 25, 26, 29, 30, 32, 33, 35, 36, 37, 38, 39","MN-3, MN-4, MN-7, MN-8, MN-10, MN-12, BX-1, BX-2, BX-3, BX-4, BX-5, BX-6, BX-8, BX-9, BX-12, BK-2, BK-3, BK-4, BK-5, BK-6, BK-7, BK-9, BK-10, BK-12, BK-14, BK-16, BK-17, QN-1, QN-4, QN-5, QN-6, QN-7, QN-8, QN-10, QN-11, SI-1, SI-2, SI-3",Work includes installing quick-connections at 51 schools to prevent service disruption.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Public Library,POINT (-74.01032306288894 40.67525091483756),Brooklyn Public Library Superstorm Sandy Restorations [Multisite],BPL002,Buildings,4000000,Completed,Q4 2013,"FEMA, Insurance Proceeds, NYSED, Private",Brooklyn,"38, 46, 47, 48","BK-6, BK-13, BK-15","Work includes restoration of four (4) BPL branches impacted by Superstorm Sandy: Red Hook, Brighton Beach, Sheepshead Bay, and Gravesend.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
